tickTPDistance,fixedSLDistance,netProfit,maxDrawdown,totalTrades,profitableTrades,profitFactor
20,100,"+11,975.00","2,550.00",32,93.75%,5.696
20,125,"+11,350.00","3,175.00",32,93.75%,4.575
20,150,"+10,725.00","3,800.00",32,93.75%,3.822
20,175,"+15,000.00","4,100.00",35,91.43%,21
20,200,"+15,000.00","4,100.00",35,91.43%,21
20,225,"+15,000.00","4,100.00",35,91.43%,21
20,250,"+15,000.00","4,100.00",35,91.43%,21
20,275,"+15,000.00","4,100.00",35,91.43%,21
20,300,"+15,000.00","4,100.00",35,91.43%,21
25,100,"+10,750.00","2,550.00",31,87.10%,4.707
25,125,"+10,125.00","3,175.00",31,87.10%,3.872
25,150,"+9,500.00","3,800.00",31,87.10%,3.289
25,175,"+10,825.00","4,100.00",35,80.00%,4.093
25,200,"+10,825.00","4,100.00",35,80.00%,4.093
25,225,"+10,825.00","4,100.00",35,80.00%,4.093
25,275,"+10,825.00","4,100.00",35,80.00%,4.093
25,300,"+10,825.00","4,100.00",35,80.00%,4.093
30,100,"+11,150.00","2,550.00",31,87.10%,4.845
30,125,"+10,525.00","3,175.00",31,87.10%,3.986
30,150,"+9,900.00","3,800.00",31,87.10%,3.386
30,175,"+11,225.00","4,100.00",35,80.00%,4.207
30,200,"+11,225.00","4,100.00",35,80.00%,4.207
30,225,"+11,225.00","4,100.00",35,80.00%,4.207
30,250,"+11,225.00","4,100.00",35,80.00%,4.207
30,275,"+11,225.00","4,100.00",35,80.00%,4.207
30,300,"+11,225.00","4,100.00",35,80.00%,4.207
35,100,"+8,025.00","5,025.00",34,85.29%,2.486
35,125,"+9,225.00","5,450.00",34,85.29%,3.196
35,150,"+8,600.00","6,075.00",34,85.29%,2.782
35,175,"+9,925.00","4,750.00",38,78.95%,3.377
35,200,"+9,925.00","4,750.00",38,78.95%,3.377
35,225,"+9,925.00","4,750.00",38,78.95%,3.377
35,250,"+9,925.00","4,750.00",38,78.95%,3.377
35,275,"+9,925.00","4,750.00",38,78.95%,3.377
35,300,"+9,925.00","4,750.00",38,78.95%,3.377
40,100,"+8,025.00","5,025.00",34,85.29%,2.486
40,125,"+9,225.00","5,450.00",34,85.29%,3.196
40,150,"+8,600.00","6,075.00",34,85.29%,2.782
40,175,"+9,925.00","4,750.00",38,78.95%,3.377
40,200,"+9,925.00","4,750.00",38,78.95%,3.377
40,225,"+9,925.00","4,750.00",38,78.95%,3.377
40,250,"+9,925.00","4,750.00",38,78.95%,3.377
40,275,"+9,925.00","4,750.00",38,78.95%,3.377
40,300,"+9,925.00","4,750.00",38,78.95%,3.377
45,100,"+8,025.00","5,025.00",34,85.29%,2.486
45,125,"+9,225.00","5,450.00",34,85.29%,3.196
45,150,"+8,600.00","6,075.00",34,85.29%,2.782
45,175,"+9,925.00","4,750.00",38,78.95%,3.377
45,200,"+9,925.00","4,750.00",38,78.95%,3.377
45,225,"+9,925.00","4,750.00",38,78.95%,3.377
45,250,"+9,925.00","4,750.00",38,78.95%,3.377
45,275,"+9,925.00","4,750.00",38,78.95%,3.377
45,300,"+9,925.00","4,750.00",38,78.95%,3.377
50,100,"+8,025.00","5,025.00",34,85.29%,2.486
50,125,"+9,225.00","5,450.00",34,85.29%,3.196
50,150,"+8,600.00","6,075.00",34,85.29%,2.782
50,175,"+9,925.00","4,750.00",38,78.95%,3.377
50,200,"+9,925.00","4,750.00",38,78.95%,3.377
50,225,"+9,925.00","4,750.00",38,78.95%,3.377
50,250,"+9,925.00","4,750.00",38,78.95%,3.377
50,275,"+9,925.00","4,750.00",38,78.95%,3.377
50,300,"+9,925.00","4,750.00",38,78.95%,3.377
