tickTPDistance,stopLossMode,fixedSLDistanceTicks,enableDailyLimits,netProfit,maxDrawdown,totalTrades,profitableTrades,profitFactor
30,Trailing SL,180,true,"+11,225.00","4,100.00",35,80.00%,4.207
30,Trailing SL,200,true,"+11,225.00","4,100.00",35,80.00%,4.207
30,Trailing SL,220,true,"+11,225.00","4,100.00",35,80.00%,4.207
30,Trailing SL,240,true,"+11,225.00","4,100.00",35,80.00%,4.207
30,Trailing SL,260,true,"+11,225.00","4,100.00",35,80.00%,4.207
30,Fixed Tick SL,180,true,"+15,450.00","4,100.00",32,90.63%,21.6
30,Fixed Tick SL,200,true,"+15,450.00","4,100.00",32,90.63%,21.6
30,Fixed Tick SL,220,true,"+15,450.00","4,100.00",32,90.63%,21.6
30,Fixed Tick SL,240,true,"+15,450.00","4,100.00",32,90.63%,21.6
30,Fixed Tick SL,260,true,"+15,450.00","4,100.00",32,90.63%,21.6
35,Trailing SL,180,true,"+9,925.00","4,750.00",38,78.95%,3.377
35,Trailing SL,200,true,"+9,925.00","4,750.00",38,78.95%,3.377
35,Trailing SL,220,true,"+9,925.00","4,750.00",38,78.95%,3.377
35,Trailing SL,260,true,"+9,925.00","4,750.00",38,78.95%,3.377
35,Fixed Tick SL,180,true,"+14,825.00","4,100.00",32,87.50%,13.891
35,Fixed Tick SL,200,true,"+14,825.00","4,100.00",32,87.50%,13.891
35,Fixed Tick SL,220,true,"+14,825.00","4,100.00",32,87.50%,13.891
35,Fixed Tick SL,240,true,"+14,825.00","4,100.00",32,87.50%,13.891
35,Fixed Tick SL,260,true,"+14,825.00","4,100.00",32,87.50%,13.891
40,Trailing SL,180,true,"+9,925.00","4,750.00",38,78.95%,3.377
40,Trailing SL,200,true,"+9,925.00","4,750.00",38,78.95%,3.377
40,Trailing SL,220,true,"+9,925.00","4,750.00",38,78.95%,3.377
40,Trailing SL,240,true,"+9,925.00","4,750.00",38,78.95%,3.377
40,Trailing SL,260,true,"+9,925.00","4,750.00",38,78.95%,3.377
40,Fixed Tick SL,180,true,"+14,825.00","4,100.00",32,87.50%,13.891
40,Fixed Tick SL,200,true,"+14,825.00","4,100.00",32,87.50%,13.891
40,Fixed Tick SL,220,true,"+14,825.00","4,100.00",32,87.50%,13.891
40,Fixed Tick SL,240,true,"+14,825.00","4,100.00",32,87.50%,13.891
40,Fixed Tick SL,260,true,"+14,825.00","4,100.00",32,87.50%,13.891
